,city,city_id,cloudiness,humidity,lat,lon,temp,windspeed
927,leshukonskoye,535839,76,89,64.9,45.76,32.75,10.78
934,richards bay,962367,92,97,-28.77,32.06,71.0,4.07
935,taitung,1668295,75,77,22.76,121.15,69.8,5.82
938,kwinana,2068079,90,100,-32.25,115.77,66.2,8.05
940,roebourne,2062276,0,71,-20.77,117.15,82.34,4.63
950,cherskiy,2126199,0,73,68.75,161.3,36.35,4.74
954,kawambwa,176555,64,99,-9.8,29.07,64.7,3.06
956,sultanpur,1255491,0,63,26.26,82.07,72.44,5.64
962,san andres,1690438,0,100,13.32,122.68,79.46,7.65
964,fayaoue,2141305,88,100,-20.65,166.53,79.82,17.83
974,kathu,991664,88,93,-27.7,23.05,57.5,2.95
977,sabang,1691355,68,98,13.72,123.58,78.38,6.87
980,matay,352628,0,56,28.42,30.79,60.56,13.47
986,carnarvon,1014034,68,85,-30.97,22.13,59.48,3.18
993,lajas,3536640,88,65,22.41,-80.29,82.4,11.41
994,ngorongoro,151610,48,97,-3.24,35.49,58.85,2.62
999,hoquiam,5797693,90,66,46.98,-123.89,51.8,10.29
1000,ternate,1682474,75,88,14.29,120.72,78.8,1.12
1008,kibala,2425791,0,58,9.11,18.35,82.4,5.08
1010,zonguldak,737021,0,89,41.25,31.83,39.95,3.74
1011,dalvik,2702977,75,95,57.79,14.13,33.8,11.41
1014,sibolga,1213855,44,100,1.74,98.78,69.65,1.5
1015,strezhevoy,1490796,0,60,60.73,77.6,10.4,4.47
1016,kulu,206362,64,97,3.47,23.69,71.9,2.39
1017,lysva,532675,20,88,58.11,57.8,30.23,14.36
1023,vuktyl,470905,92,84,63.86,57.31,36.17,11.56
1025,diveyevo,566165,44,90,55.04,43.25,30.59,6.98
1027,shenjiamen,1795632,92,91,29.96,122.3,61.55,15.82
1028,tefe,3661944,40,94,-3.35,-64.71,77.0,5.82
1034,omboue,2396853,88,100,-1.57,9.26,81.71,1.95
1037,cabinda,2243271,76,100,-5.56,12.19,81.8,5.19
1039,petropavlovsk-kamchatskiy,2122104,75,74,53.05,158.65,30.2,15.66
1041,poronaysk,2121909,24,78,49.22,143.1,26.09,15.82
1042,kikwit,2314705,88,98,-5.04,18.82,70.19,3.62
1044,nemuro,2128975,88,91,43.32,145.57,37.43,7.65
1049,marsh harbour,3571913,48,100,26.54,-77.06,72.71,14.47
